Dates,Year,Week,Top 10 Gross,%¡À LW,Overall Gross,%¡À LW.1,Releases,#1 Release,link,lYear,lWeek,lTop 10 Gross,lOverall,lTop,lGross,lTGross,lWeeks,wT10Gross,wOverallGross,wRelease
Mar 2-4,2018,9,134280505,-24.20%,149122522,-23.80%,115,Black Panther,/weekend/2018W09/?ref_=bo_wey_table_52,2018,8,177068935,195707999,Black Panther,111658835,403613257,2,107330506.75,128180072.83333331,107.16666666666669
Feb 23-25,2018,8,177068935,-33.80%,195707999,-31.80%,110,Black Panther,/weekend/2018W08/?ref_=bo_wey_table_53,2018,7,323004490,346075601,Black Panther,242155680,242155680,1,109227960.33333331,129538191.08333331,101.75
Feb 16-19Presidents' Day wknd,2018,7,323004490,107.30%,346075601,90.50%,91,Black Panther,/weekend/2018W07/occasion/us_presidentsday_weekend/?ref_=bo_wey_table_54,2018,6,113834248,141457633,Fifty Shades Freed,38560195,38560195,1,172818117.95833334,197978896.2083333,93.54166666666669
Feb 9-11,2018,6,113834248,73.20%,141457633,48.90%,105,Fifty Shades Freed,/weekend/2018W06/?ref_=bo_wey_table_56,2018,5,65718354,94988230,Jumanji: Welcome to the Jungle,10930222,352572974,7,116846154.83333331,139394977.08333334,101.16666666666669
Feb 2-4,2018,5,65718354,-35.90%,94988230,-33.60%,102,Jumanji: Welcome to the Jungle,/weekend/2018W05/?ref_=bo_wey_table_57,2018,4,102483376,142985855,Maze Runner: The Death Cure,24167011,24167011,1,81159020.0,105663109.41666669,98.58333333333331
Jan 26-28,2018,4,102483376,-1.60%,142985855,5.40%,104,Maze Runner: The Death Cure,/weekend/2018W04/?ref_=bo_wey_table_58,2018,3,104176178,135628208,Jumanji: Welcome to the Jungle,19505170,316450318,5,101773826.66666669,131358061.16666669,95.5
Jan 19-21,2018,3,104176178,-19.40%,135628208,-14.80%,103,Jumanji: Welcome to the Jungle,/weekend/2018W03/?ref_=bo_wey_table_59,2018,2,158634790,195812771,Jumanji: Welcome to the Jungle,35176695,291312604,1,144106715.15,173497607.55,85.9
Jan 12-15MLK wknd,2018,2,158634790,7.40%,195812771,5.70%,76,Jumanji: Welcome to the Jungle,/weekend/2018W02/occasion/us_mlkday_weekend/?ref_=bo_wey_table_61,2018,1,144171701,165531482,Jumanji: Welcome to the Jungle,37233653,245606319,3,122621792.8125,149859356.3125,88.1875
Jan 5-7,2018,1,144171701,-16.80%,165531482,-14.70%,89,Jumanji: Welcome to the Jungle,/weekend/2018W01/?ref_=bo_wey_table_62,2017,52,226045913,253441683,Star Wars: Episode VIII - The Last Jedi,66813601,531511829,1,132775766.41666669,155875732.66666666,88.75
"Dec 29-Jan 1, 2018New Year's long wknd",2017,52,226045913,2.60%,253441683,2.70%,67,Star Wars: Episode VIII - The Last Jedi,/weekend/2017W52/occasion/us_newyear_weekend/?ref_=bo_wey_table_2,2017,51,236559567,259567981,Star Wars: Episode VIII - The Last Jedi,99025055,395627411,1,196334086.94117647,222615748.0,76.29411764705883
Dec 22-25Christmas long wknd,2017,51,236559567,-5.60%,259567981,-5.50%,62,Star Wars: Episode VIII - The Last Jedi,/weekend/2017W51/occasion/us_christmas_weekend/?ref_=bo_wey_table_3,2017,50,267186366,278067957,Star Wars: Episode VIII - The Last Jedi,220009584,220009584,1,164322845.4,180913443.46666667,81.2
Dec 15-17,2017,50,267186366,278.20%,278067957,227.60%,86,Star Wars: Episode VIII - The Last Jedi,/weekend/2017W50/?ref_=bo_wey_table_5,2017,49,70644026,84873861,Coco,18452315,135658005,3,108613725.63636364,120640989.54545456,102.63636363636364
Dec 8-10,2017,49,70644026,-27%,84873861,-19.30%,108,Coco,/weekend/2017W49/?ref_=bo_wey_table_6,2017,48,96708952,105185400,Coco,27533304,110108708,2,77289676.66666667,88695051.61111109,109.44444444444444
Dec 1-3,2017,48,96708952,15.50%,105185400,9.80%,110,Coco,/weekend/2017W48/?ref_=bo_wey_table_7,2017,47,255508291,267474764,Coco,72908930,72908930,1,171499002.80555555,185343632.11111107,83.6111111111111
Nov 22-26Thanksgiving 5-Day,2017,47,255508291,4.80%,267474764,2.60%,61,Coco,/weekend/2017W46/occasion/us_thanksgiving_5/?ref_=bo_wey_table_10,2017,46,192816366,199223159,Justice League,93842239,93842239,1,202695349.6086957,214789448.3478261,89.7391304347826
Nov 17-19,2017,46,192816366,39.90%,199223159,31.40%,111,Justice League,/weekend/2017W46/?ref_=bo_wey_table_11,2017,45,137873693,151562937,Thor: Ragnarok,57078306,212068013,2,150439485.8181818,162818344.45454547,116.63636363636364
Nov 10-12,2017,45,137873693,-16.30%,151562937,-15.90%,124,Thor: Ragnarok,/weekend/2017W45/?ref_=bo_wey_table_12,2017,44,164643982,180275276,Thor: Ragnarok,122744989,122744989,1,142606271.54545453,156661743.36363637,121.72727272727272
